 tdata       pcdata
2015.60   0.02834985
2015.60   0.04507455
2015.60  -0.04623134
2015.61   0.05275565
2015.61  -0.04078452
2015.61  -0.03916247
2015.61  -0.10762350
2015.62  -0.04625038
2015.62  -0.00534188
2015.62  -0.04629539
2015.62   0.07993011
2015.63  -0.07957848
2015.63  -0.12763169
2015.63  -0.03657155
2015.64  -0.01722517
2015.64  -0.10658879
2015.64  -0.01382389
2015.64   0.08658058
2015.65   0.01552497
2015.65   0.09399407
2015.65   0.17450092
2015.65  -0.05917398
2015.66   0.04443684
2015.66   0.09299504
2015.66   0.00999460
2015.67  -0.22457146
2015.67   0.14060444
2015.67   0.13212086
2015.67   0.01020682
2015.68   0.03496936
2015.68  -0.04047115
2015.68  -0.02670416
2015.68  -0.11968713
2015.69  -0.07520529
2015.69   0.12671012
2015.69   0.11495551
2015.70   0.04324438
2015.70   0.00576144
2015.70  -0.07377675
2015.70   0.00000027
2015.71   0.18745531
2015.71   0.05068723
2015.71   0.01470899
2015.72   0.06831914
2015.72   0.03277235
2015.72   0.02060000
2015.72   0.17322518
2015.73  -0.00308096
2015.73   0.01929524
2015.73   0.04540174
2015.73   0.07634917
2015.74  -0.13994322
2015.74  -0.05639136
2015.74  -0.07653743
2015.75  -0.01070681
2015.75   0.02015432
2015.75  -0.03468300
2015.75  -0.10350657
2015.76  -0.05767043
2015.76  -0.03640401
2015.76   0.01501202
2015.76  -0.07725786
2015.77   0.09825005
2015.77   0.05850261
2015.77   0.01794864
2015.78   0.11589568
2015.78   0.03183089
2015.78  -0.02591813
2015.78  -0.18976902
2015.79  -0.08267966
2015.79  -0.14054870
2015.79   0.11792089
2015.79  -0.12922288
2015.80  -0.08421721
2015.80  -0.19508537
2015.80  -0.05599319
2015.81   0.04551812
2015.81  -0.00430368
2015.81   0.14399984
2015.81   0.01096228
2015.82   0.05939225
2015.82   0.03021413
2015.82  -0.03100579
2015.82   0.13069873
2015.83  -0.09992927
2015.83   0.04975284
2015.83   0.02294577
2015.84   0.15700494
2015.84  -0.07823201
2015.84  -0.01239658
2015.84  -0.00076883
2015.85  -0.08855156
2015.85  -0.11950501
2015.85  -0.13180112
2015.85  -0.05806841
2015.86   0.08172073
2015.86   0.19481677
2015.86   0.03283876
2015.87  -0.14365771
2015.87  -0.02021490
2015.87  -0.00132857
2015.87  -0.10519729
2015.88  -0.08997992
2015.88  -0.12734848
2015.88   0.01888381
2015.88   0.10483881
2015.89  -0.12619822
2015.89   0.02665415
2015.89  -0.15392949
2015.90  -0.16428165
2015.90  -0.14236531
2015.90  -0.02728987
2015.90   0.05697070
2015.91   0.01886299
2015.91  -0.01564053
2015.91   0.01488301
2015.92   0.15828674
2015.92   0.04596512
2015.92   0.10624171
2015.92   0.11349547
2015.93   0.05908983
2015.93   0.03239307
2015.93   0.21002443
2015.93   0.10119397
2015.94   0.07378934
2015.94   0.03357467
2015.94   0.01228707
2015.95  -0.07325110
2015.95   0.04762501
2015.95   0.20813079
2015.95   0.06492140
2015.96  -0.31741932
2015.96  -0.12382447
2015.96  -0.11073542
2015.96   0.08291277
2015.97   0.13527453
2015.97   0.01586888
2015.97  -0.02169338
2015.98   0.05417688
2015.98  -0.01783015
2015.98  -0.02211285
2015.98  -0.10736572
2015.99  -0.03839866
2015.99  -0.01823622
2015.99   0.08760369
2015.99  -0.01561676
2016.00  -0.02349787
2016.00  -0.00285076
2016.00   0.00412818
2016.01   0.12220247
2016.01   0.00000028
2016.01   0.17730501
2016.01  -0.04990776
2016.02  -0.16429225
2016.02   0.03689615
2016.02   0.10061535
2016.02  -0.01282923
2016.03  -0.09539708
2016.03  -0.06627002
2016.03   0.04699904
2016.04   0.12110544
2016.04   0.04527658
2016.04  -0.02388510
2016.04  -0.02085160
2016.05  -0.09476053
2016.05  -0.02091875
2016.05   0.06126797
2016.05   0.00583032
2016.06  -0.14151709
2016.06  -0.05964854
2016.06  -0.08857666
2016.07  -0.00428477
2016.07   0.14343168
2016.07   0.08177809
2016.07   0.01695130
2016.08   0.23033082
2016.08  -0.01005317
2016.08   0.01962465
2016.08  -0.23421187
2016.09  -0.00778526
2016.09  -0.13261481
2016.09   0.04680458
2016.10  -0.00875047
2016.10  -0.13013478
2016.10   0.03700997
2016.10   0.20807047
2016.11  -0.05991968
2016.11  -0.12092778
2016.11  -0.00134466
2016.11   0.08152411
2016.12   0.00623908
2016.12   0.05100912
2016.12   0.18533570
2016.13  -0.02402990
2016.13  -0.01769294
2016.13  -0.21411967
2016.13  -0.15243002
2016.14  -0.15541542
2016.14  -0.19067747
2016.14   0.01184055
2016.14   0.00753621
2016.15   0.00655498
2016.15   0.15191566
2016.15   0.03822437
2016.16   0.10061533
2016.16  -0.06055025
2016.16   0.01042737
2016.16   0.08145717
2016.17   0.05758512
2016.17   0.03661661
2016.17  -0.04423269
2016.17   0.08986841
2016.18  -0.02650138
2016.18  -0.01421054
2016.18   0.04061669
2016.19  -0.00639725
2016.19   0.07850847
2016.19   0.03998637
2016.19  -0.00169628
2016.20   0.00169687
2016.20  -0.00793050
2016.20   0.22339476
2016.20   0.03229420
2016.21   0.07466719
2016.21   0.03483510
2016.21  -0.03230768
2016.22  -0.07305162
2016.22  -0.21471408
2016.22  -0.00698377
2016.22   0.00961757
2016.23  -0.21254259
2016.23   0.03420047
2016.23  -0.03548461
2016.23  -0.20350102
2016.24   0.17624318
2016.24   0.04622607
2016.24  -0.03178383
2016.25  -0.09313708
2016.25   0.03608752
2016.25  -0.04670459
