 tdata       pcdata
2015.60  -1.70644421
2015.60   0.51000601
2015.60   0.06004137
2015.61   1.54692621
2015.61   0.75684795
2015.61  -1.16738779
2015.61  -0.34460451
2015.62  -0.96419539
2015.62  -0.87188285
2015.62  -0.34699879
2015.62   0.22023192
2015.63   1.41993475
2015.63   0.19427473
2015.63  -0.14661261
2015.64  -0.20015656
2015.64  -0.25059235
2015.64   0.00150253
2015.64   0.28783766
2015.65   0.23605875
2015.65   0.03923975
2015.65  -0.88261547
2015.65  -0.08109086
2015.66  -0.60384194
2015.66   0.41688922
2015.66   0.19658982
2015.67   1.06518847
2015.67   0.15003765
2015.67   0.46476741
2015.67  -0.06594104
2015.68  -0.78541317
2015.68  -1.60163824
2015.68   1.15034808
2015.68   0.12055774
2015.69   0.52557594
2015.69   1.01979061
2015.69   0.34543402
2015.70  -0.01267726
2015.70  -0.13084215
2015.70  -0.56521379
2015.70  -0.00000179
2015.71   1.51440363
2015.71   0.42824335
2015.71  -0.20944895
2015.72   0.36165234
2015.72   0.01241452
2015.72  -1.04039504
2015.72   0.62455912
2015.73  -0.47543332
2015.73  -0.29746571
2015.73   0.26278485
2015.73   0.49364490
2015.74  -2.23099628
2015.74  -1.11278874
2015.74  -0.22877431
2015.75   0.06185547
2015.75   1.16458356
2015.75   0.98401263
2015.75  -0.08031581
2015.76   0.59769551
2015.76   1.14953024
2015.76   0.07448316
2015.76   0.35456539
2015.77   0.23940239
2015.77   0.25398801
2015.77   0.37389093
2015.78   0.82111462
2015.78  -0.18290965
2015.78   0.25723715
2015.78  -0.44239776
2015.79  -0.89147269
2015.79  -0.29321011
2015.79  -0.86460904
2015.79  -1.67990227
2015.80  -2.49430391
2015.80  -1.26586880
2015.80  -0.57895431
2015.81   0.77937334
2015.81   0.45680381
2015.81   0.46132222
2015.81   0.21171772
2015.82  -0.02131324
2015.82  -0.04980343
2015.82   0.40633173
2015.82   0.66389407
2015.83   1.02595293
2015.83   0.40482500
2015.83   0.75798937
2015.84   0.41499602
2015.84   0.18813330
2015.84  -0.84576088
2015.84   0.09654721
2015.85  -0.61191543
2015.85   0.29930238
2015.85   0.32363890
2015.85   0.55483686
2015.86  -0.59176928
2015.86   0.26483570
2015.86  -0.85085517
2015.87  -1.41488789
2015.87  -1.41888451
2015.87  -0.56036505
2015.87  -0.86418852
2015.88  -0.02796370
2015.88  -0.57920406
2015.88  -0.27151710
2015.88   1.00176059
2015.89   1.09006311
2015.89   0.27403013
2015.89  -0.41053007
2015.90  -0.37524350
2015.90  -0.94947874
2015.90   0.82079386
2015.90   0.51249966
2015.91   0.53224793
2015.91   0.07018377
2015.91   0.43281908
2015.92   0.12497285
2015.92   0.20117366
2015.92   0.32272535
2015.92   0.07726603
2015.93   0.16736827
2015.93  -0.35281172
2015.93  -0.19938282
2015.93  -0.99702242
2015.94  -0.50518698
2015.94   0.30944026
2015.94  -1.03760293
2015.95  -0.26608763
2015.95   0.68626332
2015.95   0.98381213
2015.95   1.66402643
2015.96   0.95885169
2015.96   0.70499900
2015.96   0.80072596
2015.96   0.50786251
2015.97   0.61162443
2015.97   0.09166481
2015.97  -0.46253136
2015.98   0.05843054
2015.98  -1.48373514
2015.98  -0.39394090
2015.98  -0.01199966
2015.99   0.71898151
2015.99   0.67853442
2015.99   0.76951962
2015.99   0.54940386
2016.00   0.64380352
2016.00   0.35066041
2016.00  -2.91822809
2016.01  -1.21580722
2016.01  -0.00000167
2016.01  -0.15409427
2016.01   0.04405031
2016.02   0.09547884
2016.02   0.01455796
2016.02   0.26118219
2016.02  -0.06633272
2016.03  -0.49770454
2016.03   1.48395462
2016.03   0.18061744
2016.04  -0.14426554
2016.04  -1.59674588
2016.04  -0.99812988
2016.04   0.57488796
2016.05   0.80251901
2016.05   0.57945512
2016.05  -0.10292719
2016.05  -0.74458088
2016.06   0.65147225
2016.06   0.98036582
2016.06   0.05760770
2016.07   0.54928795
2016.07   0.59167812
2016.07  -1.40058336
2016.07  -0.03466841
2016.08  -1.91200355
2016.08  -0.55194300
2016.08   1.18601573
2016.08   0.15079894
2016.09   1.07606444
2016.09   0.52616559
2016.09   1.43038133
2016.10   1.11601284
2016.10   0.54575728
2016.10   0.24016290
2016.10  -0.10013754
2016.11  -1.42946747
2016.11  -1.98681153
2016.11  -2.55439569
2016.11  -1.69714165
2016.12  -1.10503317
2016.12   1.38304682
2016.12   0.46625418
2016.13   0.30424628
2016.13  -0.85396283
2016.13  -0.69178689
2016.13  -0.83832152
2016.14  -0.48319368
2016.14  -0.69904072
2016.14  -0.16840132
2016.14  -0.52377994
2016.15   0.84300720
2016.15   1.77016111
2016.15   0.40240001
2016.16  -0.22080775
2016.16   0.26491602
2016.16   0.42789742
2016.16   1.10595802
2016.17   0.48371033
2016.17  -0.56282838
2016.17  -0.12995921
2016.17  -0.15943167
2016.18   0.37773290
2016.18   0.56555898
2016.18  -0.30802392
2016.19   0.02413675
2016.19  -0.01957258
2016.19   1.17845859
2016.19   0.28484718
2016.20  -0.28485058
2016.20   0.05344952
2016.20   0.26103010
2016.20  -0.28630173
2016.21  -0.78822263
2016.21   0.19002786
2016.21  -0.23172281
2016.22  -0.37396565
2016.22  -0.50781260
2016.22   0.29889626
2016.22  -0.30446102
2016.23  -0.51164692
2016.23   0.98330083
2016.23   0.40712112
2016.23   0.63761944
2016.24   1.41749652
2016.24   1.16749676
2016.24   0.53096081
2016.25   0.26575256
2016.25   0.88035753
2016.25   0.75263278
2016.25  -0.52517843
2016.26  -0.10685121
2016.26   0.27497301
2016.26  -0.52757563
2016.27  -0.28172186
2016.27  -0.37139109
2016.27  -0.48779333
2016.27  -1.12235482
2016.28  -0.55474729
2016.28  -0.71068655
2016.28  -0.99853815
2016.28  -1.34393523
2016.29   0.87441814
2016.29   0.00619324
2016.29  -0.05548730
2016.30  -0.95930755
2016.30   0.73399940
2016.30   0.55130128
2016.30  -0.61039683
2016.31   0.56065607
2016.31   0.40519583
2016.31   0.40714593
2016.31   0.10587477
2016.32  -0.10587834
2016.32  -1.78154797
2016.32   1.63365470
2016.33   1.61316895
2016.33   0.50412246
2016.33   0.24085840
2016.33  -0.80317612
2016.34  -0.80574908
2016.34  -1.03629793
2016.34  -0.74077571
2016.34   0.60710009
2016.35  -0.08060822
2016.35   0.72994587
2016.35   0.36967736
2016.36  -0.01365065
2016.36  -0.43674843
2016.36   0.42507403
2016.36  -0.87379602
2016.37   0.11889960
2016.37  -0.18563598
2016.37   0.23077397
2016.37  -0.55536555
2016.38   0.15400283
2016.38  -0.52637367
2016.38   0.69107906
2016.39  -0.16427274
2016.39  -0.08990035
2016.39  -0.37203032
2016.39  -1.04617302
2016.40   1.20883398
2016.40   0.98480528
2016.40   0.14100631
2016.40  -0.30166744
2016.41   0.16063619
2016.41  -0.00000008
2016.41  -0.12507961
2016.42  -0.39489625
2016.42   0.05124237
2016.42   0.63556627
2016.42   0.58024799
2016.43  -0.40541282
2016.43  -1.65219141
2016.43   0.91386815
2016.43   0.39656296
2016.44   0.59664529
2016.44   0.29720745
2016.44  -0.28428536
2016.45  -0.60959111
2016.45  -0.00001824
2016.45   0.60872731
2016.45  -1.27676416
2016.46  -0.85434422
2016.46   0.61687897
2016.46   0.90556657
2016.46  -1.52454250
2016.47   0.22682304
2016.47   0.79447225
2016.47   0.50321577
2016.48  -0.96094541
2016.48  -0.29062041
2016.48   0.80565325
2016.48  -0.28211326
2016.49  -0.00469088
2016.49  -0.00731089
2016.49   1.81985784
2016.49   0.75314148
2016.50   0.08030554
2016.50   1.37591974
2016.50   1.26342749
2016.51   0.31898280
2016.51   0.48013264
2016.51   0.93195230
2016.51  -1.50223279
2016.52  -1.62405127
2016.52  -1.39820865
2016.52  -1.05142765
2016.52  -1.93186285
2016.53   0.14062843
2016.53  -1.04299743
2016.53   0.50669351
2016.54   0.62710297
2016.54  -0.02357532
2016.54  -1.21837987
2016.54  -1.20158354
2016.55   1.13887912
2016.55   1.13767073
2016.55  -0.67272430
2016.55   0.54520123
2016.56   0.70981191
2016.56   0.57778212
2016.56  -1.16880513
2016.57   0.18730363
2016.57  -0.14839930
2016.57   1.08272349
2016.57   0.25505805
2016.58   0.76227348
2016.58   0.05660234
2016.58  -0.87761368
2016.58   0.09822569
2016.59   0.62742352
2016.59   0.73950082
2016.59   0.04189860
2016.60  -0.53417647
2016.60   0.34949268
2016.60   0.37022956
2016.60   0.45740495
2016.61  -1.11695904
2016.61  -0.91155354
2016.61  -0.89227334
2016.61  -1.42672412
2016.62  -0.97263797
2016.62  -0.16640269
2016.62  -0.26456997
2016.63   0.21626995
2016.63   0.08666176
2016.63   0.23864118
2016.63  -0.76703561
2016.64   0.11768528
2016.64   1.10108593
2016.64   0.92483239
2016.64   0.01508945
2016.65   1.12794416
2016.65   1.61762507
2016.65   0.89856431
2016.66   0.93550864
2016.66   1.19906528
2016.66  -0.06973101
2016.66  -0.44065516
2016.67   0.54973465
2016.67  -0.77232317
2016.67   0.17527327
2016.67   0.15477420
2016.68   1.00577908
2016.68  -1.31562104
2016.68  -1.94422692
2016.69  -0.09636873
2016.69  -0.82093382
2016.69  -0.68892171
2016.69   0.81859300
2016.70   1.14418666
2016.70  -0.82116681
2016.70  -0.99356108
2016.70  -0.68707384
2016.71  -1.45255724
2016.71   0.33441890
2016.71   0.59697841
2016.72   0.03751592
2016.72   1.33655196
2016.72   0.84720397
2016.72  -0.12317052
2016.73   0.39451298
2016.73  -0.94498125
2016.73  -0.48445561
2016.73  -0.30217015
2016.74   0.78860435
2016.74  -1.89915167
2016.74   0.38859305
2016.75   0.94336884
2016.75   0.08075168
2016.75   0.34850874
2016.75  -0.52962073
2016.76  -0.87436050
2016.76   1.05550609
2016.76  -1.13473823
2016.77  -0.11462786
2016.77  -1.20460959
2016.77  -0.50578794
2016.77   1.10755432
2016.78  -1.25500072
2016.78   0.97583877
2016.78   0.50079889
2016.78   0.63851468
2016.79   0.16038423
2016.79  -0.07577705
2016.79   0.19451190
2016.80   0.56408109
2016.80  -0.72915909
2016.80   0.39666210
2016.80  -1.09431386
2016.81  -0.31291993
2016.81   0.67869223
2016.81   0.19383265
2016.81   0.23432705
2016.82  -0.19044466
2016.82  -0.39401125
2016.82  -0.43547538
2016.83   1.08601357
2016.83   0.42886629
2016.83   0.28674974
2016.83   0.99217555
2016.84   0.90309575
2016.84  -0.04880477
2016.84  -0.06367292
2016.84  -0.18209063
2016.85   1.12141095
2016.85   1.12605226
2016.85   0.98540470
2016.86   1.20397106
2016.86  -0.43196647
2016.86   0.02546272
2016.86   0.27417987
2016.87  -0.34867917
2016.87  -0.06830632
2016.87   0.68925106
2016.87  -0.37051139
2016.88  -0.17927761
2016.88  -1.62811544
2016.88  -1.56201119
2016.89  -1.27866250
2016.89  -1.39659923
2016.89  -0.13328037
2016.89   0.37136676
2016.90  -0.30518986
2016.90  -0.05235164
2016.90  -0.27077133
2016.90  -0.37573976
2016.91   0.03574422
2016.91  -0.15147765
2016.91  -0.12054497
2016.92   0.41744389
2016.92  -0.42433414
2016.92   1.10188949
2016.92   0.18981434
2016.93   0.08454500
2016.93   0.01882567
2016.93  -0.69236550
2016.93  -0.46809973
2016.94   0.50913903
2016.94   0.03475160
2016.94   0.40378423
2016.95   0.16315312
2016.95  -0.06650549
2016.95   0.50970080
2016.95  -0.04059100
2016.96  -0.46581602
2016.96   0.32290112
2016.96   0.14452967
2016.96   0.04060101
2016.97  -0.18751830
2016.97  -0.30624476
2016.97   0.37017799
2016.98   0.78904746
2016.98  -0.68061568
2016.98  -0.52737889
2016.98   0.19705685
2016.99   0.44859422
2016.99  -0.29413340
2016.99  -0.13222793
2016.99   0.44999303
2017.00  -0.09240290
2017.00  -0.33892362
2017.00  -0.02883792
2017.01   0.10662302
2017.01   1.16219226
2017.01   0.81782765
2017.01  -0.69524603
2017.02  -1.14099632
2017.02  -0.66791387
2017.02  -0.49208630
2017.02  -0.83861065
2017.03  -1.37385924
2017.03  -1.14900250
2017.03  -0.48963809
2017.04   0.24307755
2017.04   0.46306878
2017.04   0.94585754
2017.04   0.80134257
2017.05   0.44222764
2017.05   1.10504970
2017.05   0.01934238
2017.05   1.02979310
2017.06   1.07916272
2017.06   0.55476694
2017.06   0.64743696
2017.07   0.34332428
2017.07   0.92734631
2017.07  -0.09964543
2017.07  -0.48972696
2017.08  -0.85696764
2017.08   0.47568730
2017.08   0.27118112
2017.08   0.33199264
2017.09   0.44069617
2017.09  -0.44561829
2017.09  -2.14297047
2017.10  -1.53517961
