 tdata       pcdata
2015.60  -0.40812064
2015.60  -0.11651077
2015.60   0.47492445
2015.61  -0.06069692
2015.61  -0.11942337
2015.61   0.22985563
2015.61   1.58422708
2015.62   1.08950657
2015.62  -0.37103973
2015.62  -0.26231123
2015.62  -0.46913352
2015.63  -0.08260826
2015.63  -0.10392209
2015.63   0.61294405
2015.64   1.73072541
2015.64  -0.63136096
2015.64   0.92071412
2015.64  -0.74962820
2015.65  -0.27882483
2015.65   0.42596340
2015.65  -0.31465717
2015.65  -0.80530146
2015.66  -0.21039372
2015.66   0.01628733
2015.66   0.68345245
2015.67   0.05739407
2015.67  -1.03818791
2015.67  -1.80373614
2015.67  -0.19655719
2015.68  -0.01660306
2015.68   1.19057522
2015.68   0.73423453
2015.68   0.51470367
2015.69  -0.05760430
2015.69  -0.59138457
2015.69  -0.14243469
2015.70  -0.20256687
2015.70  -0.61606757
2015.70  -0.61624101
2015.70   0.00000494
2015.71   0.30933812
2015.71  -0.23973771
2015.71  -0.46860955
2015.72   0.09956630
2015.72  -0.15475635
2015.72  -1.48512344
2015.72  -0.34895158
2015.73  -0.56995619
2015.73  -0.68010036
2015.73  -1.08219653
2015.73  -1.12535089
2015.74  -0.75015495
2015.74  -1.40771889
2015.74  -0.26648376
2015.75  -1.15310743
2015.75  -1.15605836
2015.75  -0.54831603
2015.75  -0.71222564
2015.76  -0.80544679
2015.76  -0.73868697
2015.76  -0.94213017
2015.76   1.43325344
2015.77   1.67802744
2015.77   1.23508838
2015.77   1.16632377
2015.78   0.63360185
2015.78   1.27283065
2015.78   1.09139158
2015.78   1.45308062
2015.79   1.01802537
2015.79   0.65520402
2015.79   1.07729181
2015.79   1.51225063
2015.80  -0.09920553
2015.80  -0.23060626
2015.80   0.35494588
2015.81  -0.30618096
2015.81   0.15505243
2015.81   0.07597464
2015.81  -0.33062935
2015.82  -0.04643031
2015.82   0.15142411
2015.82   0.33685912
2015.82  -0.03203259
2015.83   0.06432155
2015.83  -0.09342877
2015.83   0.05282813
2015.84   0.18966100
2015.84   0.11320705
2015.84  -0.15277355
2015.84   0.25905945
2015.85  -0.46195264
2015.85  -0.16283563
2015.85  -0.19105721
2015.85  -0.29014873
2015.86   0.08326771
2015.86   0.68896913
2015.86  -0.12816560
2015.87   0.44236492
2015.87   0.47163922
2015.87   0.68058655
2015.87   0.23890237
2015.88   0.50553866
2015.88   0.37141826
2015.88   0.45759146
2015.88   0.77490099
2015.89   0.22329180
2015.89  -0.58797293
2015.89  -0.09379686
2015.90  -0.35302771
2015.90  -0.53535804
2015.90  -0.27526947
2015.90   0.09621479
2015.91  -1.12419471
2015.91   0.16432933
2015.91   0.01244954
2015.92   0.28575619
2015.92  -0.70581340
2015.92  -0.32016437
2015.92  -0.59310835
2015.93   0.09063332
2015.93  -0.57420131
2015.93  -0.35741127
2015.93   0.18777609
2015.94   0.02265064
2015.94   1.08595318
2015.94  -0.02840446
2015.95  -0.40793265
2015.95   0.04224852
2015.95   0.03282167
2015.95   0.42362679
2015.96  -0.65387155
2015.96   0.06987594
2015.96  -0.18223664
2015.96   0.34124428
2015.97   0.36745026
2015.97  -0.29567036
2015.97   0.84818624
2015.98   0.98142029
2015.98   0.08286230
2015.98  -0.35582750
2015.98  -0.70532943
2015.99  -0.79488825
2015.99  -0.05349527
2015.99   0.32622314
2015.99  -0.89125253
2016.00  -0.87188915
2016.00   0.49798538
2016.00   0.40182493
2016.01   0.23360490
2016.01   0.00000501
2016.01   0.17820575
2016.01  -0.07959007
2016.02  -0.19392646
2016.02   0.09533053
2016.02   0.65939304
2016.02   0.60248384
2016.03  -1.25608989
2016.03  -0.32511196
2016.03   0.46153383
