   lon    lat   spatialEOF
120.59  23.65  -3.02949846
120.34  23.03  -4.09857008
120.19  22.96  -3.37876249
120.48  23.43  -4.66659644
120.28  23.02  -3.06978250
120.55  23.51  -4.54566014
120.76  23.16  -3.18074673
120.17  23.38  -2.54984019
120.86  22.31   0.11115502
120.28  22.94  -3.60089052
120.31  22.94  -3.97732146
120.29  23.39  -3.64571747
120.36  22.80  -3.58563706
121.03  23.20  -3.45154689
120.30  23.48  -2.92419226
120.28  22.75  -2.90550372
120.89  22.34  -1.82680425
120.40  23.22  -1.03123416
120.38  23.41  -3.59992001
120.37  23.26  -3.35853595
120.45  23.27  -2.58347663
120.40  22.99  -4.86813785
120.61  22.64  -3.47776322
121.20  23.11  -4.01548241
120.59  22.37  -3.28925279
121.23  23.13  -2.22591837
120.35  23.02  -4.22417934
120.96  23.49  -1.53630201
120.44  23.38  -3.31120583
121.19  22.79  -2.69475240
120.70  23.11  -3.63480758
121.17  22.94  -3.68212043
120.28  23.36  -3.36043290
121.15  22.75  -2.70495469
120.34  23.21  -3.60704504
120.52  23.42  -3.56004597
120.28  22.94  -3.76562912
120.45  23.47  -4.17645244
120.29  22.61  -3.08927381
120.09  23.06  -3.57999593
120.55  23.46  -6.44742832
120.22  23.00  -3.23732874
121.25  22.91  -2.48947484
120.31  23.58  -2.97807198
121.13  22.91  -3.28360381
120.64  22.72  -3.11897979
120.48  23.56  -3.06881534
120.89  23.48  -1.66934659
120.27  23.10  -2.49016424
120.35  22.58  -2.60620482
120.33  23.05  -3.15499499
120.21  23.08  -3.25341939
121.08  22.76  -1.57770874
120.83  23.26  -1.82060200
120.66  23.54  -2.58665050
121.04  23.17  -2.06891636
120.50  22.61  -3.11510972
