   lon    lat   spatialEOF
120.59  23.65   0.89883226
120.34  23.03  -2.39619379
120.19  22.96  -0.36841898
120.48  23.43   0.62459787
120.28  23.02  -0.29425873
120.55  23.51   0.74665238
120.76  23.16  -0.37646762
120.17  23.38   0.48500519
120.86  22.31   0.93819840
120.28  22.94  -1.55156941
120.31  22.94  -2.48953172
120.29  23.39   0.72377012
120.36  22.80  -0.09216819
121.03  23.20   1.16709808
120.30  23.48   0.61498154
120.28  22.75   0.24528978
120.89  22.34   0.68416303
120.40  23.22   0.71079240
120.38  23.41   0.54674310
120.37  23.26   0.99231830
120.45  23.27   0.64000790
120.40  22.99  -2.21085057
120.61  22.64   0.67825559
121.20  23.11   0.53939664
120.59  22.37   0.62495614
121.23  23.13   0.82186727
120.35  23.02   0.10519071
120.96  23.49   0.38203659
120.44  23.38   0.56231313
121.19  22.79   0.67366681
120.70  23.11  -0.82317687
121.17  22.94   0.54735788
120.28  23.36   0.57301541
121.15  22.75   0.63019387
120.34  23.21   0.34691698
120.52  23.42   0.77373608
120.28  22.94  -1.69296147
120.45  23.47   0.60993573
120.29  22.61   0.69544385
120.09  23.06   0.24434528
120.55  23.46   0.98679692
120.22  23.00  -0.90192968
121.25  22.91   0.57724835
120.31  23.58   0.10468770
121.13  22.91   0.60103904
120.64  22.72   0.53766710
120.48  23.56   0.67125358
120.89  23.48   0.86246474
120.27  23.10  -1.11096000
120.35  22.58   0.73619073
120.33  23.05  -0.78882259
120.21  23.08   0.05763706
121.08  22.76   0.57645967
120.83  23.26   0.03210330
120.66  23.54   0.74708430
121.04  23.17   3.95870401
120.50  22.61   0.74016799
