   lon    lat   spatialEOF
120.59  23.65  -0.01060737
120.34  23.03   5.34864180
120.19  22.96  -0.21659490
120.48  23.43   0.03886149
120.28  23.02  -0.68804562
120.55  23.51  -0.03643158
120.76  23.16   0.65748992
120.17  23.38  -0.40248988
120.86  22.31  -0.12100447
120.28  22.94   0.54938762
120.31  22.94   1.35991394
120.29  23.39  -0.31230466
120.36  22.80   1.23501496
121.03  23.20  -0.03779774
120.30  23.48  -0.23992489
120.28  22.75   0.14208411
120.89  22.34   0.03972690
120.40  23.22  -0.07898935
120.38  23.41  -0.22793803
120.37  23.26  -0.78722271
120.45  23.27  -0.33291236
120.40  22.99  -1.14963810
120.61  22.64   0.04879298
121.20  23.11  -0.08432151
120.59  22.37   0.03160494
121.23  23.13  -0.00985992
120.35  23.02   0.59775476
120.96  23.49   0.17649761
120.44  23.38  -0.16271368
121.19  22.79  -0.13518221
120.70  23.11   1.15790324
121.17  22.94  -1.49566430
120.28  23.36  -0.42081169
121.15  22.75  -0.07650677
120.34  23.21  -1.02009545
120.52  23.42   0.22698132
120.28  22.94   0.73655873
120.45  23.47  -0.13016856
120.29  22.61   0.15546096
120.09  23.06  -0.38247900
120.55  23.46   0.27610401
120.22  23.00  -0.64407212
121.25  22.91   0.08794352
120.31  23.58  -0.09308891
121.13  22.91  -0.01756258
120.64  22.72   0.02661128
120.48  23.56  -0.08896508
120.89  23.48   0.39857804
120.27  23.10  -3.17106214
120.35  22.58   0.01419221
120.33  23.05  -1.19318888
120.21  23.08  -1.32269273
121.08  22.76  -0.12681798
120.83  23.26   0.52801627
120.66  23.54   0.24216317
121.04  23.17  -0.16784831
120.50  22.61   0.09041106
